15.00	0.0596523920	0.4432348425	0.2421549308	16.8236513445	1.1215319934	16.3021764472	0.7741809810	0.0200610576	0.0080528580	0.5014138398	0.3392981545	0.0200388814	0.0080286976	0.4491629941	0.2773435891	2.217622E-05	2.416040E-05	0.0522508457	0.0619545654	0.2853910863	25.3252583789	6136.0000000000	0.0560831344	8.855996E-05	0.0561716943
16.00	0.0328177572	0.4706497706	0.3016807701	30.3717304194	1.1228607194	30.0926155910	0.8862839963	0.0072475017	0.0029227041	0.2718673268	0.2336540190	0.0072291454	0.0029024369	0.1907368729	0.1351494673	1.835628E-05	2.026720E-05	0.0811304538	0.0985045518	0.2855815689	48.9682743189	6016.0000000000	0.0204978269	9.658388E-05	0.0205944107
17.00	0.0196396236	0.4865474804	0.3619092733	50.3439393297	1.0974952322	50.2078489176	0.9453798594	0.0016075653	0.0007174207	0.1344828468	0.1513979520	0.0015997138	0.0007085125	0.0457321742	0.0336090185	7.851475E-06	8.908249E-06	0.0887506726	0.1177889335	0.2845749302	64.2470230722	6005.0000000000	0.0064252763	5.799317E-05	0.0064832695
18.00	0.0185565319	0.4941818728	0.4121365596	52.8218639437	1.0606882622	52.7559035377	0.9665457913	0.0007647374	0.0003101932	0.0651956686	0.0938322777	0.0007614995	0.0003065437	0.0099423481	0.0067509850	3.237881E-06	3.649491E-06	0.0552533205	0.0870812927	0.2839381361	45.5470270634	6125.0000000000	0.0019918174	2.528952E-05	0.0020171069
19.00	0.0240926450	0.4974424927	0.4478050549	40.1737753472	1.0255341457	40.1420356292	0.9695131342	0.0002962682	0.0001316156	0.0314434499	0.0558893958	0.0002954633	0.0001306782	0.0037405496	0.0024836214	8.049202E-07	9.373978E-07	0.0277029003	0.0534057744	0.2836776529	24.8117983739	6294.0000000000	0.0008953268	8.256146E-06	0.0009035829
20.00	0.0368534575	0.4987667486	0.4703320045	25.6783706739	0.9926789917	25.6620844715	0.9600092788	0.0003270216	0.0001291337	0.0159591808	0.0325405793	0.0003264267	0.0001284782	0.0024008710	0.0014346413	5.949622E-07	6.554707E-07	0.0135583098	0.0311059380	0.2835541616	12.7544075753	6485.0000000000	0.0005929668	3.308111E-06	0.0005962749
21.00	0.0606587324	0.4992524098	0.4833071180	14.9819334297	0.9564814075	14.9724648509	0.9373593141	0.0003937872	0.0001524578	0.0090747916	0.0189696357	0.0003935069	0.0001521379	0.0023463967	0.0013096921	2.802833E-07	3.198402E-07	0.0067283949	0.0176599436	0.2834841868	6.5040421470	6684.0000000000	0.0005618573	1.931055E-06	0.0005637883
22.00	0.1012163413	0.4991206961	0.4896391500	8.3888067759	0.9090418921	8.3784964300	0.8958943289	0.0013562639	0.0004852259	0.0089540820	0.0126623374	0.0013558986	0.0004848239	0.0053950911	0.0026086070	3.653107E-07	4.020112E-07	0.0035589909	0.0100537304	0.2834393225	3.4856071853	6877.0000000000	0.0010307039	1.579115E-06	0.0010322830
23.00	0.1747478141	0.4571868616	0.4290332080	4.6378222162	0.8490002029	3.9265642314	0.5917607646	0.1950881421	0.0657811146	0.5161698428	0.1914583238	0.1950875485	0.0657804678	0.5137386273	0.1851927460	5.935392E-07	6.468048E-07	0.0024312155	0.0062655778	0.2834886160	2.0866871098	6998.0000000000	0.0543725165	2.036513E-06	0.0543745530
24.00	0.3877073819	0.3654925525	0.2013241968	2.1476079825	0.7171336317	0.8423625965	0.1346160046	0.1615343385	0.0594003960	1.1437110475	0.5231172311	0.1615331470	0.0593991338	1.1415486378	0.5188018197	1.191571E-06	1.262158E-06	0.0021624097	0.0043154115	0.2834859775	0.8715617948	6833.0000000000	0.2884579909	3.506283E-06	0.2884614972
25.00	0.6299395590	0.3984069465	0.1924636200	1.2983183140	0.5313286389	0.3849984789	0.0477657881	0.0555017378	0.0211119269	0.8578180974	0.4624509239	0.0554743981	0.0210828081	0.8545810033	0.4579303234	2.733963E-05	2.911889E-05	0.0032370941	0.0045206005	0.2832778817	1.2678302905	6725.0000000000	0.1470008331	4.874814E-05	0.1470495812
26.00	0.3649483724	0.4144569661	0.2156744826	4.7365462607	0.8075195702	3.8343880917	0.3353648855	0.1016167998	0.0359825272	0.8005413692	0.4361721574	0.1015926349	0.0359562541	0.7658547915	0.3986357906	2.416489E-05	2.627308E-05	0.0346865777	0.0375363668	0.2814368091	14.9820500090	6293.0000000000	0.0999398259	0.0001092121	0.1000490379
27.00	0.0605695722	0.4285969032	0.2300657795	16.9630737326	1.1140208058	16.3443981916	0.7332641581	0.0280286070	0.0115804380	0.5906469340	0.3691762097	0.0280143265	0.0115649486	0.5268868622	0.2958980244	1.428043E-05	1.548946E-05	0.0637600718	0.0732781853	0.2829049828	29.3502623438	5970.0000000000	0.1028411426	7.106928E-05	0.1029122119
28.00	0.0326652987	0.4637550946	0.2857962587	30.3204125425	1.1288007825	29.9980891455	0.8703996773	0.0064455345	0.0028074164	0.3158778626	0.2555936889	0.0064184422	0.0027774382	0.2438644139	0.1662807790	2.709225E-05	2.997816E-05	0.0720134486	0.0893129099	0.2833857346	41.1874767398	5812.0000000000	0.0256763451	0.0001043366	0.0257806817
29.00	0.0227458339	0.4834759107	0.3481580529	43.6407911206	1.1031778880	43.4788672413	0.9342699043	0.0025879355	0.0010697598	0.1593359439	0.1678382239	0.0025793597	0.0010599498	0.0662265364	0.0494400200	8.575746E-06	9.810037E-06	0.0931094075	0.1183982039	0.2830158408	64.8418723897	5793.0000000000	0.0074940392	7.946847E-05	0.0075735077
30.00	0.0182339095	0.4928711592	0.4017797397	53.8804838127	1.0689142297	53.8022868129	0.9636005328	0.0010545694	0.0004062578	0.0771424303	0.1049074391	0.0010518834	0.0004031385	0.0135458754	0.0092632039	2.686078E-06	3.119252E-06	0.0635965548	0.0956442352	0.2818497173	51.1062622766	5874.0000000000	0.0024262399	2.657973E-05	0.0024528196
31.00	0.0223095525	0.4969499915	0.4410321492	43.5395568724	1.0330624664	43.5026506442	0.9701700644	0.0002685509	0.0001226567	0.0366376774	0.0627697452	0.0002676209	0.0001215660	0.0039134941	0.0026151739	9.299728E-07	1.090656E-06	0.0327241832	0.0601545714	0.2814452890	28.8657580114	6091.0000000000	0.0009348054	1.017975E-05	0.0009449852
